2019-11-26 19:25:47,499 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-11-26 20:57:05,461 [Worker-62] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: MyProject:MyProject:0.0.1-SNAPSHOT @ Z:\Java2\project\MyProject\pom.xml.
2019-11-26 20:57:11,821 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-11-26 20:57:11,847 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\Java2\project\MyProject\src\main\resources
2019-11-26 20:57:11,851 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-11-26 20:57:11,877 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\Java2\project\MyProject\src\test\resources
2019-11-26 20:57:12,087 [Worker-62] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MyProject/src
2019-11-26 20:57:12,092 [Worker-62] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /MyProject/src/test/java because it overlaps with /MyProject/src
2019-11-26 20:57:13,403 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-11-26 20:57:13,426 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\Java2\project\MyProject\src\main\resources
2019-11-26 20:57:13,428 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-11-26 20:57:13,452 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\Java2\project\MyProject\src\test\resources
2019-11-26 20:57:16,441 [Worker-62] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2019-11-26 20:57:16,907 [Worker-62] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: MyProject:MyProject:0.0.1-SNAPSHOT @ Z:\Java2\project\MyProject\pom.xml.
