127.0.0.1 - - [26/Nov/2019:22:01:23 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:01:24 +0530] "GET /MyProject/ HTTP/1.1" 200 3877
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:01:24 +0530] "GET /MyProject/images/book1.jpg HTTP/1.1" 200 160352
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:01:24 +0530] "GET /MyProject/images/book2.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:01:24 +0530] "GET /MyProject/images/book3.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:01:24 +0530] "GET /MyProject/images/book4.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:01:32 +0530] "GET /MyProject/userLogin.jsp HTTP/1.1" 200 1404
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:01:32 +0530] "GET /MyProject/img_avatar2.png HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:04:31 +0530] "POST /MyProject/login.jsp HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:04:34 +0530] "GET /MyProject/img_avatar2.png HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:08:50 +0530] "GET /MyProject/userLogin.jsp HTTP/1.1" 200 1379
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:08:50 +0530] "GET /MyProject/images/profile.jpg HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:15:06 +0530] "GET /MyProject/images/book3.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:15:06 +0530] "GET /MyProject/images/book4.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:15:06 +0530] "GET /MyProject/images/book2.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:15:09 +0530] "GET /MyProject/userLogin.jsp HTTP/1.1" 200 1379
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:15:09 +0530] "GET /MyProject/images/profile.jpg HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:15:11 +0530] "GET /MyProject/images/book2.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:15:11 +0530] "GET /MyProject/images/book4.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:15:11 +0530] "GET /MyProject/images/book3.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:15:13 +0530] "GET /MyProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:15:21 +0530] "GET /MyProject/images/book3.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:15:21 +0530] "GET /MyProject/images/book4.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:15:21 +0530] "GET /MyProject/images/book2.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:15:42 +0530] "GET /MyProject/ HTTP/1.1" 200 3877
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:15:42 +0530] "GET /MyProject/images/book2.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:15:42 +0530] "GET /MyProject/images/book3.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:15:42 +0530] "GET /MyProject/images/book1.jpg HTTP/1.1" 200 160352
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:15:42 +0530] "GET /MyProject/images/book4.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:16:09 +0530] "GET /MyProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:16:09 +0530] "GET /MyProject/images/book2.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:16:09 +0530] "GET /MyProject/images/book3.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:16:09 +0530] "GET /MyProject/images/book4.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:16:09 +0530] "GET /MyProject/images/book1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:16:10 +0530] "GET /MyProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:16:10 +0530] "GET /MyProject/images/book3.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:16:10 +0530] "GET /MyProject/images/book4.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:16:10 +0530] "GET /MyProject/images/book2.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:16:10 +0530] "GET /MyProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:16:10 +0530] "GET /MyProject/images/book2.jpg HTTP/1.1" 404 1108
